state,county,votes,population,per_capita
Alabama,Autauga,14770,55395,0.266630562
Alabama,Baldwin,57084,200111,0.28526168
Alabama,Barbour,6146,26887,0.228586306
Alabama,Bibb,5079,22506,0.225673154
Alabama,Blount,15750,57719,0.27287375
Alabama,Bullock,3170,10764,0.294500186
Alabama,Butler,5496,20296,0.270792274
Alabama,Calhoun,25813,115916,0.222687118
Alabama,Chambers,7652,34076,0.224556873
Alabama,Cherokee,6173,26037,0.237085686
Alabama,Chilton,11553,43931,0.262980583
Alabama,Choctaw,4118,13323,0.309089544
Alabama,Clarke,7895,24945,0.316496292
Alabama,Clay,4820,13552,0.35566706
Alabama,Cleburne,4482,15080,0.297214854
Alabama,Coffee,11960,50909,0.234928991
Alabama,Colbert,13257,54543,0.243055938
Alabama,Conecuh,3846,12670,0.303551697
Alabama,Coosa,3313,10886,0.304335844
Alabama,Covington,10182,37914,0.268555151
Alabama,Crenshaw,3719,13977,0.266079989
Alabama,Cullman,22555,81289,0.277466816
Alabama,Dale,10795,49484,0.218151322
Alabama,Dallas,11200,41711,0.268514301
Alabama,DeKalb,14811,71065,0.208414831
Alabama,Elmore,21125,80977,0.260876545
Alabama,Escambia,7855,37733,0.208173217
Alabama,Etowah,23968,103531,0.231505539
Alabama,Fayette,5605,16874,0.332167832
Alabama,Franklin,6104,31601,0.193158444
Alabama,Geneva,6891,26712,0.257973944
Alabama,Greene,3195,8553,0.373553139
Alabama,Hale,3970,15184,0.261459431
Alabama,Henry,5046,17190,0.293542757
Alabama,Houston,23382,104193,0.224410469
Alabama,Jackson,12433,52665,0.236077091
Alabama,Jefferson,174095,660793,0.263463747
Alabama,Lamar,4030,14086,0.286099673
Alabama,Lauderdale,22642,93096,0.243211309
Alabama,Lawrence,9137,33477,0.272933656
Alabama,Lee,30110,154255,0.195196266
Alabama,Limestone,23008,90787,0.253428354
Alabama,Lowndes,4946,10580,0.467485822
Alabama,Macon,5504,19425,0.283346203
Alabama,Madison,93522,350299,0.266977639
Alabama,Marengo,5728,20110,0.284833416
